date,period,word_count,sentiment,relationships_count,work_projects_count,self_reflection_count,emotional_struggle_count,achievement_count
2017-01-02,pre_graduation,645,0.03716240227434257,3,2,4,4,1
2017-01-02,pre_graduation,394,0.12005952380952385,2,1,3,0,0
2017-01-06,pre_graduation,475,0.03564814814814816,4,2,3,1,2
2017-01-15,pre_graduation,189,0.035213032581453634,1,1,2,0,1
2017-01-15,pre_graduation,656,0.01901360544217687,3,0,3,1,3
2017-01-28,pre_graduation,1532,0.10163069253978343,5,4,7,3,2
2017-02-02,pre_graduation,238,0.16130952380952382,0,1,1,0,0
2017-02-04,pre_graduation,473,0.048386243386243394,1,2,2,1,1
2017-02-13,pre_graduation,451,-0.0423033126293996,2,1,5,2,1
2017-02-13,pre_graduation,230,-0.009620556211465306,2,0,0,2,0
2017-02-14,pre_graduation,445,0.07973720120459252,1,0,3,1,0
2017-02-15,pre_graduation,1733,-0.056883426097711846,7,3,6,6,1
2017-02-17,pre_graduation,309,0.03935185185185187,2,0,4,0,0
2017-02-27,pre_graduation,1302,0.012790661719233142,3,3,6,3,4
2017-02-28,pre_graduation,362,0.13603219696969698,0,3,2,0,3
2017-03-09,pre_graduation,118,-0.08493589743589741,0,0,0,0,0
2017-03-14,pre_graduation,478,0.13575937950937952,1,3,2,1,0
2017-03-18,pre_graduation,480,0.10809523809523808,2,1,2,1,1
2017-03-20,pre_graduation,520,0.04234561357010336,5,1,4,1,0
2017-03-27,pre_graduation,256,0.00047348484848484806,1,2,1,0,1
2017-04-02,pre_graduation,838,0.07074398469747306,4,4,6,1,0
2017-04-05,pre_graduation,2530,0.0342774303885415,2,2,7,6,2
2017-04-12,pre_graduation,317,0.011685463659147867,1,2,3,0,1
2017-04-14,pre_graduation,804,-0.02896567717996289,3,1,4,3,1
2017-04-14,pre_graduation,236,-0.043249805749805754,0,1,3,3,0
2017-04-16,pre_graduation,332,0.04636656746031745,3,0,3,1,1
2017-04-16,pre_graduation,1402,0.05620101114666327,2,4,6,4,3
2017-04-23,pre_graduation,68,-0.02500000000000001,0,0,2,0,0
2017-04-23,pre_graduation,796,0.0824229749229749,3,4,3,0,3
2017-04-23,pre_graduation,416,0.005338541666666658,3,0,3,1,0
2017-04-24,pre_graduation,205,-0.06001984126984127,1,1,2,1,0
2017-04-26,pre_graduation,770,0.09245723209538997,1,1,5,1,2
2017-04-30,pre_graduation,919,0.16617965367965368,2,2,1,1,4
2017-04-30,pre_graduation,964,-0.015350020350020354,4,2,5,1,3
2017-05-04,pre_graduation,165,0.06554621848739496,0,0,1,0,0
2017-05-05,pre_graduation,512,0.09706060606060607,1,4,2,1,2
